displayLabel|County|avgIncome:float|error:float|stateCounty
United States|United States|51914|89|AL-United States
United States - Alabama|Alabama|42081|183|AL-Alabama
United States - Alabama - Autauga County|Autauga County|53255|2420|AL-Autauga County
United States - Alabama - Baldwin County|Baldwin County|50147|1046|AL-Baldwin County
United States - Alabama - Barbour County|Barbour County|33219|1889|AL-Barbour County
United States - Alabama - Bibb County|Bibb County|41770|3139|AL-Bibb County
United States - Alabama - Blount County|Blount County|45549|1804|AL-Blount County
United States - Alabama - Bullock County|Bullock County|31602|6819|AL-Bullock County
United States - Alabama - Butler County|Butler County|30659|2487|AL-Butler County
United States - Alabama - Calhoun County|Calhoun County|38407|1406|AL-Calhoun County
United States - Alabama - Chambers County|Chambers County|31467|1300|AL-Chambers County
United States - Alabama - Cherokee County|Cherokee County|40690|2546|AL-Cherokee County
United States - Alabama - Chilton County|Chilton County|39486|2707|AL-Chilton County
United States - Alabama - Choctaw County|Choctaw County|31076|3328|AL-Choctaw County
United States - Alabama - Clarke County|Clarke County|27439|1684|AL-Clarke County
United States - Alabama - Clay County|Clay County|35595|5045|AL-Clay County
United States - Alabama - Cleburne County|Cleburne County|36077|3003|AL-Cleburne County
United States - Alabama - Coffee County|Coffee County|42253|2075|AL-Coffee County
United States - Alabama - Colbert County|Colbert County|39610|1384|AL-Colbert County
United States - Alabama - Conecuh County|Conecuh County|26944|4076|AL-Conecuh County
United States - Alabama - Coosa County|Coosa County|35560|3142|AL-Coosa County
United States - Alabama - Covington County|Covington County|33852|1905|AL-Covington County
United States - Alabama - Crenshaw County|Crenshaw County|35140|4391|AL-Crenshaw County
United States - Alabama - Cullman County|Cullman County|38567|1371|AL-Cullman County
United States - Alabama - Dale County|Dale County|43353|1353|AL-Dale County
United States - Alabama - Dallas County|Dallas County|26029|1633|AL-Dallas County
United States - Alabama - DeKalb County|DeKalb County|35065|1772|AL-DeKalb County
United States - Alabama - Elmore County|Elmore County|53128|1566|AL-Elmore County
United States - Alabama - Escambia County|Escambia County|31927|1940|AL-Escambia County
United States - Alabama - Etowah County|Etowah County|36422|1183|AL-Etowah County
United States - Alabama - Fayette County|Fayette County|34560|3096|AL-Fayette County
United States - Alabama - Franklin County|Franklin County|33942|1927|AL-Franklin County
United States - Alabama - Geneva County|Geneva County|34140|3406|AL-Geneva County
United States - Alabama - Greene County|Greene County|22222|3461|AL-Greene County
United States - Alabama - Hale County|Hale County|29299|2201|AL-Hale County
United States - Alabama - Henry County|Henry County|38379|2649|AL-Henry County
United States - Alabama - Houston County|Houston County|41022|896|AL-Houston County
United States - Alabama - Jackson County|Jackson County|36312|2091|AL-Jackson County
United States - Alabama - Jefferson County|Jefferson County|45244|641|AL-Jefferson County
United States - Alabama - Lamar County|Lamar County|33887|3605|AL-Lamar County
United States - Alabama - Lauderdale County|Lauderdale County|39345|1339|AL-Lauderdale County
United States - Alabama - Lawrence County|Lawrence County|40516|2726|AL-Lawrence County
United States - Alabama - Lee County|Lee County|40894|1162|AL-Lee County
United States - Alabama - Limestone County|Limestone County|46682|1483|AL-Limestone County
United States - Alabama - Lowndes County|Lowndes County|29714|2660|AL-Lowndes County
United States - Alabama - Macon County|Macon County|27544|2346|AL-Macon County
United States - Alabama - Madison County|Madison County|55851|962|AL-Madison County
United States - Alabama - Marengo County|Marengo County|32940|2549|AL-Marengo County
United States - Alabama - Marion County|Marion County|32769|1838|AL-Marion County
United States - Alabama - Marshall County|Marshall County|37661|1509|AL-Marshall County
United States - Alabama - Mobile County|Mobile County|40996|723|AL-Mobile County
United States - Alabama - Monroe County|Monroe County|30235|2027|AL-Monroe County
United States - Alabama - Montgomery County|Montgomery County|43725|1042|AL-Montgomery County
United States - Alabama - Morgan County|Morgan County|44349|1300|AL-Morgan County
United States - Alabama - Perry County|Perry County|25950|4653|AL-Perry County
United States - Alabama - Pickens County|Pickens County|28280|2732|AL-Pickens County
United States - Alabama - Pike County|Pike County|29181|2285|AL-Pike County
United States - Alabama - Randolph County|Randolph County|34593|4078|AL-Randolph County
United States - Alabama - Russell County|Russell County|32481|1546|AL-Russell County
United States - Alabama - St. Clair County|St. Clair County|48837|2778|AL-St. Clair County
United States - Alabama - Shelby County|Shelby County|68380|1579|AL-Shelby County
United States - Alabama - Sumter County|Sumter County|25338|3336|AL-Sumter County
United States - Alabama - Talladega County|Talladega County|36948|1331|AL-Talladega County
United States - Alabama - Tallapoosa County|Tallapoosa County|36904|3149|AL-Tallapoosa County
United States - Alabama - Tuscaloosa County|Tuscaloosa County|42311|1213|AL-Tuscaloosa County
United States - Alabama - Walker County|Walker County|37191|1751|AL-Walker County
United States - Alabama - Washington County|Washington County|36431|4979|AL-Washington County
United States - Alabama - Wilcox County|Wilcox County|23491|1720|AL-Wilcox County
United States - Alabama - Winston County|Winston County|33685|3118|AL-Winston County
United States - Alaska|Alaska|66521|642|-Alaska
United States - Alaska - Aleutians East Borough|Aleutians East Borough|54375|9723|AK-Aleutians East Borough
United States - Alaska - Aleutians West Census Area|Aleutians West Census Area|72917|10789|AK-Aleutians West Census Area
United States - Alaska - Anchorage Municipality|Anchorage Municipality|73004|1134|AK-Anchorage Municipality
United States - Alaska - Bethel Census Area|Bethel Census Area|52214|3425|AK-Bethel Census Area
United States - Alaska - Bristol Bay Borough|Bristol Bay Borough|84000|19933|AK-Bristol Bay Borough
United States - Alaska - Denali Borough|Denali Borough|72500|11296|AK-Denali Borough
United States - Alaska - Dillingham Census Area|Dillingham Census Area|60800|5002|AK-Dillingham Census Area
United States - Alaska - Fairbanks North Star Borough|Fairbanks North Star Borough|66598|2379|AK-Fairbanks North Star Borough
United States - Alaska - Haines Borough|Haines Borough|47981|5863|AK-Haines Borough
United States - Alaska - Hoonah-Angoon Census Area|Hoonah-Angoon Census Area|43750|6825|AK-Hoonah-Angoon Census Area
United States - Alaska - Juneau City and Borough|Juneau City and Borough|75517|5319|AK-Juneau City and Borough
United States - Alaska - Kenai Peninsula Borough|Kenai Peninsula Borough|57454|2633|AK-Kenai Peninsula Borough
United States - Alaska - Ketchikan Gateway Borough|Ketchikan Gateway Borough|61695|5224|AK-Ketchikan Gateway Borough
United States - Alaska - Kodiak Island Borough|Kodiak Island Borough|60776|7958|AK-Kodiak Island Borough
United States - Alaska - Lake and Peninsula Borough|Lake and Peninsula Borough|40909|9912|AK-Lake and Peninsula Borough
United States - Alaska - Matanuska-Susitna Borough|Matanuska-Susitna Borough|67703|1956|AK-Matanuska-Susitna Borough
United States - Alaska - Nome Census Area|Nome Census Area|53899|5457|AK-Nome Census Area
United States - Alaska - North Slope Borough|North Slope Borough|68517|6005|AK-North Slope Borough
United States - Alaska - Northwest Arctic Borough|Northwest Arctic Borough|55217|3990|AK-Northwest Arctic Borough
United States - Alaska - Petersburg Census Area|Petersburg Census Area|62317|8919|AK-Petersburg Census Area
United States - Alaska - Prince of Wales-Hyder Census Area|Prince of Wales-Hyder Census Area|45728|2840|AK-Prince of Wales-Hyder Census Area
United States - Alaska - Sitka City and Borough|Sitka City and Borough|62024|3816|AK-Sitka City and Borough
United States - Alaska - Skagway Municipality|Skagway Municipality|73500|10180|AK-Skagway Municipality
United States - Alaska - Southeast Fairbanks Census Area|Southeast Fairbanks Census Area|59596|7072|AK-Southeast Fairbanks Census Area
United States - Alaska - Valdez-Cordova Census Area|Valdez-Cordova Census Area|60383|7783|AK-Valdez-Cordova Census Area
United States - Alaska - Wade Hampton Census Area|Wade Hampton Census Area|37955|2035|AK-Wade Hampton Census Area
United States - Alaska - Wrangell City and Borough|Wrangell City and Borough|50389|5242|AK-Wrangell City and Borough
United States - Alaska - Yakutat City and Borough|Yakutat City and Borough|65750|26367|AK-Yakutat City and Borough
United States - Alaska - Yukon-Koyukuk Census Area|Yukon-Koyukuk Census Area|33712|2917|AK-Yukon-Koyukuk Census Area
United States - Arizona|Arizona|50448|217|-Arizona
United States - Arizona - Apache County|Apache County|30184|1368|AZ-Apache County
United States - Arizona - Cochise County|Cochise County|44876|1551|AZ-Cochise County
