zip|type|primary_city|state|county|stateCounty
00501|UNIQUE|Holtsville|NY|Suffolk County|NY-Suffolk County
00544|UNIQUE|Holtsville|NY|Suffolk County|NY-Suffolk County
00601|STANDARD|Adjuntas|PR|Adjuntas|PR-Adjuntas
00602|STANDARD|Aguada|PR| |PR-
00603|STANDARD|Aguadilla|PR|Aguadilla|PR-Aguadilla
00604|PO BOX|Aguadilla|PR| |PR-
00605|PO BOX|Aguadilla|PR| |PR-
00606|STANDARD|Maricao|PR|Maricao|PR-Maricao
00610|STANDARD|Anasco|PR| |PR-
00611|PO BOX|Angeles|PR| |PR-
00612|STANDARD|Arecibo|PR|Arecibo|PR-Arecibo
00613|PO BOX|Arecibo|PR| |PR-
00614|PO BOX|Arecibo|PR| |PR-
00616|STANDARD|Bajadero|PR|Arecibo|PR-Arecibo
00617|STANDARD|Barceloneta|PR|Barceloneta|PR-Barceloneta
00622|STANDARD|Boqueron|PR| |PR-
00623|STANDARD|Cabo Rojo|PR| |PR-
00624|STANDARD|Penuelas|PR| |PR-
00627|STANDARD|Camuy|PR| |PR-
00631|PO BOX|Castaner|PR| |PR-
00636|PO BOX|Rosario|PR| |PR-
00637|STANDARD|Sabana Grande|PR| |PR-
00638|STANDARD|Ciales|PR| |PR-
00641|STANDARD|Utuado|PR| |PR-
00646|STANDARD|Dorado|PR| |PR-
00647|STANDARD|Ensenada|PR| |PR-
00650|STANDARD|Florida|PR| |PR-
00652|STANDARD|Garrochales|PR|Arecibo|PR-Arecibo
00653|STANDARD|Guanica|PR| |PR-
00656|STANDARD|Guayanilla|PR| |PR-
00659|STANDARD|Hatillo|PR| |PR-
00660|STANDARD|Hormigueros|PR| |PR-
00662|STANDARD|Isabela|PR| |PR-
00664|STANDARD|Jayuya|PR| |PR-
00667|STANDARD|Lajas|PR| |PR-
00669|STANDARD|Lares|PR| |PR-
00670|STANDARD|Las Marias|PR| |PR-
00674|STANDARD|Manati|PR| |PR-
00676|STANDARD|Moca|PR| |PR-
00677|STANDARD|Rincon|PR| |PR-
00678|STANDARD|Quebradillas|PR| |PR-
