State|ZCTACode|ZipCode|header1:float|header2:float|header3:float|header4:float|header5:float|header6:float|header7:float|header8:float|header9:float|header10:float
Alabama|Alabama|abama|1883791|67.8|28.6|47.9|15.3|32.2|27.4|9.8|2.48|3.02
Alabama|ZCTA 35004|35004|4214|71.2|31.5|55.7|11.7|28.8|24.8|7.5|2.47|2.96
Alabama|ZCTA 35005|35005|3067|71.3|27.9|49.5|16.5|28.7|24.8|10.2|2.58|3.08
Alabama|ZCTA 35006|35006|1188|74.3|27.7|58.1|11.4|25.7|22.5|8.5|2.63|3.05
Alabama|ZCTA 35007|35007|9180|77.5|39.7|62.4|10.9|22.5|18.9|4.9|2.82|3.22
Alabama|ZCTA 35010|35010|8476|68.6|27.2|45.6|18.2|31.4|27.9|12|2.42|2.92
Alabama|ZCTA 35013|35013|34|85.3|67.6|58.8|5.9|14.7|11.8|2.9|3.65|3.97
Alabama|ZCTA 35014|35014|1592|74.9|26.6|51.5|18.7|25.1|22.4|8.3|2.51|2.9
Alabama|ZCTA 35016|35016|6847|69.7|29.2|53|11.8|30.3|26.8|12.4|2.44|2.94
Alabama|ZCTA 35019|35019|831|74|29.8|59.2|10.5|26|22.6|9.3|2.55|2.97
Alabama|ZCTA 35020|35020|10495|64.6|25.5|26.3|32.1|35.4|31.2|11.6|2.53|3.19
Alabama|ZCTA 35022|35022|7378|73|29.4|54.7|14.6|27|23.4|9|2.51|2.96
Alabama|ZCTA 35023|35023|9436|72.1|28|53.8|13.8|27.9|24.9|10.5|2.52|2.99
Alabama|ZCTA 35031|35031|3041|73.8|30.7|57.6|11|26.2|23.2|10.6|2.61|3.05
Alabama|ZCTA 35033|35033|1340|75.5|29.5|61.4|8.9|24.5|20.9|9.3|2.54|2.93
Alabama|ZCTA 35034|35034|1342|72.2|31.4|44.3|22.6|27.8|25.3|9.1|2.63|3.15
Alabama|ZCTA 35035|35035|596|75|27.5|55.9|12.8|25|20.6|6.9|2.65|3.08
Alabama|ZCTA 35036|35036|123|63.4|35|24.4|32.5|36.6|32.5|11.4|2.41|3.06
Alabama|ZCTA 35040|35040|5877|71.3|34.8|56|11.6|28.7|24.3|5.5|2.54|3.03
Alabama|ZCTA 35042|35042|2320|68.3|28.1|49.8|13.9|31.7|28.8|13.4|2.45|3.02
Alabama|ZCTA 35043|35043|3265|81.5|42.6|71.5|7|18.5|15.9|4.8|2.8|3.14
Alabama|ZCTA 35044|35044|3105|69.9|28.9|45.8|19.5|30.1|26.6|10.8|2.48|3
